,id,youtube_id,player,sex,club,view,slow,events,bbox,split
335,335,JPgxoQkudcI,LYDIA KO,f,iron,down-the-line,1,[4153 4182 4232 4257 4291 4310 4323 4333 4391 4451],[0.23984375 0.09583333 0.34921875 0.87222222],3
336,336,igqba4C0O-4,GRAEME MCDOWELL,m,driver,face-on,0,[403 418 429 434 440 442 446 448 459 525],[3.45703125e-02 6.94444444e-04 9.12890625e-01 1.00000000e+00],2
337,337,igqba4C0O-4,GRAEME MCDOWELL,m,hybrid,other,0,[1095 1263 1272 1278 1283 1285 1289 1291 1302 1340],[1.03710938e-01 6.94444444e-04 8.74218750e-01 1.00000000e+00],2
338,338,igqba4C0O-4,GRAEME MCDOWELL,m,driver,face-on,0,[2976 3006 3018 3024 3029 3032 3035 3037 3048 3138],[8.49609375e-02 6.94444444e-04 8.54296875e-01 1.00000000e+00],2
339,339,igqba4C0O-4,GRAEME MCDOWELL,m,driver,down-the-line,0,[5429 5464 5472 5478 5483 5486 5489 5491 5502 5563],[1.61718750e-01 6.94444444e-04 4.33593750e-01 9.00694444e-01],2
340,340,igqba4C0O-4,GRAEME MCDOWELL,m,iron,other,0,[6624 6658 6666 6672 6678 6681 6685 6688 6695 6768],[1.78710938e-01 6.94444444e-04 6.73828125e-01 9.86458333e-01],2
341,341,igqba4C0O-4,GRAEME MCDOWELL,m,driver,down-the-line,0,[8838 9081 9092 9098 9102 9105 9109 9110 9122 9246],[1.37695313e-01 6.94444444e-04 5.63671875e-01 9.96875000e-01],2
342,342,igqba4C0O-4,GRAEME MCDOWELL,m,driver,face-on,0,[10386 10494 10505 10510 10516 10518 10522 10524 10535 10715],[5.09765625e-02 6.94444444e-04 9.07031250e-01 1.00000000e+00],2
343,343,_LCRjBY4508,HEE-WON HAN,f,driver,down-the-line,0,[121 154 171 176 185 192 196 198 227 287],[0.04746094 0.00590278 0.59414062 0.99479167],3
344,344,_LCRjBY4508,HEE-WON HAN,f,driver,down-the-line,1,[497 528 588 609 648 672 686 697 857 887],[0.06269531 0.00173611 0.59179687 0.99895833],3
345,345,0eFgAUfHsEk,BERNHARD LANGER,m,driver,other,0,[361 430 442 445 451 454 458 460 478 576],[0.09199219 0.10173611 0.49101562 0.87291667],4
346,346,0eFgAUfHsEk,BERNHARD LANGER,m,driver,other,1,[ 817  821  866  878  903  914  932  939 1001 1121],[0.10839844 0.11423611 0.49335937 0.84375   ],4
347,347,iZ0rALFylOE,CAMILO VILLEGAS,m,fairway,other,0,[418 468 479 486 494 499 502 504 527 587],[8.61328125e-02 6.94444444e-04 4.80468750e-01 9.94791667e-01],1
348,348,iZ0rALFylOE,CAMILO VILLEGAS,m,fairway,other,1,[ 857  880  926  953  982 1003 1017 1025 1093 1183],[0.08730469 0.00590278 0.4828125  0.99479167],1
349,349,Ne6ndS9DQsg,HARRISON FRAZAR,m,driver,down-the-line,0,[ 91 102 113 120 130 135 138 140 175 295],[1.20117188e-01 6.94444444e-04 5.15625000e-01 1.00000000e+00],4
350,350,Ne6ndS9DQsg,HARRISON FRAZAR,m,driver,down-the-line,1,[603 643 686 710 747 771 783 790 938 944],[1.42382813e-01 6.94444444e-04 4.93359375e-01 1.00000000e+00],4
351,351,cRc8BJ0kydc,LYDIA KO,f,driver,face-on,0,[151 518 537 544 554 559 563 565 589 670],[6.09375000e-02 6.94444444e-04 8.78906250e-01 9.81250000e-01],2
352,352,cRc8BJ0kydc,LYDIA KO,f,driver,face-on,1,[ 865  924  998 1024 1065 1086 1100 1108 1194 1251],[6.32812500e-02 6.94444444e-04 8.85937500e-01 9.96527778e-01],2
353,353,31p1YZI_mrc,KIRADECH ALPHIBARNRAT,m,iron,down-the-line,0,[121 308 316 321 327 331 334 336 355 415],[2.29687500e-01 6.94444444e-04 4.19531250e-01 9.85416667e-01],2
354,354,31p1YZI_mrc,KIRADECH ALPHIBARNRAT,m,iron,down-the-line,1,[ 709  775  804  822  845  862  874  881  954 1023],[2.78906250e-01 6.94444444e-04 3.77343750e-01 9.89583333e-01],2
355,355,D4uV1bZxaek,CATRIONA MATTHEW,f,driver,down-the-line,0,[181 369 385 390 397 400 404 407 425 510],[3.67187500e-02 6.94444444e-04 5.74218750e-01 9.89583333e-01],4
356,356,D4uV1bZxaek,CATRIONA MATTHEW,f,driver,down-the-line,1,[630 679 740 762 790 800 816 826 902 979],[3.35937500e-02 6.94444444e-04 5.70312500e-01 1.00000000e+00],4
357,357,PfI2CC0ikWo,RETIEF GOOSEN,m,driver,down-the-line,0,[280 550 564 568 576 580 583 585 604 680],[4.84375000e-02 6.94444444e-04 6.21875000e-01 1.00000000e+00],1
358,358,PfI2CC0ikWo,RETIEF GOOSEN,m,driver,down-the-line,1,[ 920  963 1002 1017 1051 1066 1078 1086 1162 1239],[3.28125000e-02 6.94444444e-04 6.39843750e-01 1.00000000e+00],1
359,359,97PIPGqXQ5o,SEI YOUNG KIM,f,driver,face-on,0,[112 412 427 434 444 448 452 454 478 539],[1.22656250e-01 6.94444444e-04 7.39843750e-01 9.79861111e-01],1
360,360,97PIPGqXQ5o,SEI YOUNG KIM,f,driver,face-on,1,[ 802  844  905  932  972  988 1002 1010 1099 1146],[1.34375000e-01 6.94444444e-04 7.35937500e-01 9.95138889e-01],1
361,361,t-DfeLMz6Rc,ADAM SCOTT,m,driver,down-the-line,0,[ 815 1251 1265 1268 1277 1282 1285 1287 1309 1348],[3.90625000e-04 6.94444444e-04 5.98828125e-01 9.96527778e-01],1
362,362,t-DfeLMz6Rc,ADAM SCOTT,m,driver,down-the-line,1,[1778 1857 1908 1920 1955 1975 1986 1994 2054 2098],[3.90625000e-04 6.94444444e-04 5.88671875e-01 1.00000000e+00],1
363,363,t-DfeLMz6Rc,ADAM SCOTT,m,wedge,face-on,0,[3811 4090 4112 4117 4124 4128 4132 4134 4148 4213],[1.96093750e-01 6.94444444e-04 6.65625000e-01 9.99305556e-01],1
364,364,t-DfeLMz6Rc,ADAM SCOTT,m,wedge,face-on,1,[4634 4711 4796 4813 4841 4859 4873 4883 4944 5044],[1.89843750e-01 6.94444444e-04 6.73437500e-01 1.00000000e+00],1
365,365,t-DfeLMz6Rc,ADAM SCOTT,m,iron,down-the-line,0,[7025 7229 7240 7245 7252 7257 7259 7261 7282 7342],[1.75000000e-01 6.94444444e-04 4.07031250e-01 9.77083333e-01],1
366,366,t-DfeLMz6Rc,ADAM SCOTT,m,iron,down-the-line,0,[7931 7959 7970 7974 7981 7987 7990 7992 8022 8054],[2.20312500e-01 6.94444444e-04 3.27343750e-01 9.64583333e-01],1
367,367,t-DfeLMz6Rc,ADAM SCOTT,m,iron,down-the-line,1,[8400 8438 8481 8498 8525 8547 8557 8565 8628 8746],[1.99218750e-01 6.94444444e-04 3.52343750e-01 9.70138889e-01],1
368,368,MH2gKCKbdsE,BEATRIZ RECARI,f,driver,other,0,[571 870 886 890 898 902 906 908 932 973],[0.1984375  0.16944444 0.39140625 0.83125   ],2
369,369,MH2gKCKbdsE,BEATRIZ RECARI,f,driver,other,1,[1400 1424 1480 1495 1530 1545 1557 1567 1650 1714],[0.20703125 0.17083333 0.3828125  0.82986111],2
370,370,7AMgLiPIBhY,LEE JANZEN,m,driver,face-on,0,[181 335 352 357 365 369 372 374 390 424],[1.50000000e-01 6.94444444e-04 7.23437500e-01 9.64583333e-01],3
371,371,7AMgLiPIBhY,LEE JANZEN,m,driver,face-on,1,[ 725  746  810  830  862  876  889  897  959 1021],[1.50000000e-01 6.94444444e-04 7.31250000e-01 9.72916667e-01],3
372,372,mmf_20rpyyg,ALISON LEE,f,driver,face-on,0,[541 670 691 699 708 713 717 719 739 799],[1.18750000e-01 6.94444444e-04 8.00781250e-01 9.71527778e-01],3
373,373,mmf_20rpyyg,ALISON LEE,f,driver,face-on,1,[ 950 1027 1111 1140 1174 1196 1212 1221 1284 1315],[9.45312500e-02 6.94444444e-04 7.80468750e-01 9.72916667e-01],3
374,374,VZU1_tdgJOI,JUSTIN ROSE,m,driver,other,0,[181 544 565 571 579 583 586 588 606 668],[0.034375   0.02083333 0.4640625  0.97986111],1
375,375,VZU1_tdgJOI,JUSTIN ROSE,m,driver,other,0,[428 545 565 571 578 583 586 588 607 642],[0.5203125  0.01388889 0.478125   0.97222222],1
376,376,VZU1_tdgJOI,JUSTIN ROSE,m,driver,other,1,[ 823  882  963  987 1020 1035 1047 1055 1127 1189],[0.04296875 0.04583333 0.45234375 0.95416667],1
377,377,VZU1_tdgJOI,JUSTIN ROSE,m,driver,other,1,[ 829  892  964  985 1019 1035 1045 1053 1126 1169],[0.525      0.01388889 0.4671875  0.94444444],1
378,378,4XTdsv5AI28,HENRIK STENSON,m,iron,other,0,[391 506 515 519 525 529 532 534 550 589],[2.50000000e-02 6.94444444e-04 3.71093750e-01 9.65972222e-01],4
379,379,4XTdsv5AI28,HENRIK STENSON,m,iron,face-on,0,[1049 1100 1110 1113 1120 1124 1127 1129 1144 1189],[1.18750000e-01 6.94444444e-04 6.56250000e-01 8.97916667e-01],4
380,380,4XTdsv5AI28,HENRIK STENSON,m,fairway,down-the-line,0,[1556 1839 1848 1852 1859 1862 1865 1867 1883 1935],[1.67187500e-01 6.94444444e-04 4.53906250e-01 9.96527778e-01],4
381,381,4XTdsv5AI28,HENRIK STENSON,m,iron,other,1,[2348 2398 2408 2412 2419 2423 2425 2427 2443 2490],[4.60937500e-02 6.94444444e-04 3.68750000e-01 9.97916667e-01],4
382,382,4XTdsv5AI28,HENRIK STENSON,m,iron,face-on,1,[3707 3735 3745 3748 3755 3760 3762 3764 3777 3810],[1.42187500e-01 6.94444444e-04 6.25000000e-01 8.67361111e-01],4
383,383,4XTdsv5AI28,HENRIK STENSON,m,fairway,down-the-line,1,[5083 5140 5149 5153 5159 5163 5166 5168 5184 5220],[1.63281250e-01 6.94444444e-04 5.25000000e-01 9.95138889e-01],4
384,384,kBPAZFRWuBg,RETIEF GOOSEN,m,driver,face-on,0,[143 446 467 471 479 483 486 488 508 570],[1.03125000e-01 6.94444444e-04 7.58593750e-01 9.99305556e-01],2
385,385,kBPAZFRWuBg,RETIEF GOOSEN,m,driver,face-on,1,[ 684  727  808  824  857  872  886  893  963 1000],[1.16406250e-01 6.94444444e-04 7.33593750e-01 1.00000000e+00],2
386,386,ZDOgtiAmT40,HARRIS ENGLISH,m,driver,face-on,0,[246 297 311 316 325 330 333 335 350 411],[3.67187500e-02 6.94444444e-04 9.00781250e-01 9.99305556e-01],3
387,387,ZDOgtiAmT40,HARRIS ENGLISH,m,driver,face-on,1,[ 764  814  884  903  937  957  969  977 1031 1070],[3.28125000e-02 6.94444444e-04 9.00781250e-01 1.00000000e+00],3
388,388,ZDOgtiAmT40,HARRIS ENGLISH,m,fairway,down-the-line,0,[2283 2405 2419 2424 2432 2437 2440 2442 2460 2508],[1.92187500e-01 6.94444444e-04 4.23437500e-01 9.88194444e-01],3
389,389,ZDOgtiAmT40,HARRIS ENGLISH,m,fairway,down-the-line,1,[2843 2902 2950 2966 3005 3023 3034 3044 3104 3135],[1.85937500e-01 6.94444444e-04 4.21093750e-01 9.84027778e-01],3
390,390,XWN7QsyebEs,NICOLE CASTRALE,f,driver,other,0,[452 645 662 666 674 679 682 685 702 735],[0.2671875  0.19722222 0.3328125  0.6625    ],4
391,391,XWN7QsyebEs,NICOLE CASTRALE,f,driver,other,1,[ 795  825  893  907  946  961  973  982 1046 1078],[0.25703125 0.19583333 0.321875   0.68472222],4
392,392,Qh2U0AMzDMo,SANDRA GAL,f,driver,face-on,0,[331 497 521 525 538 542 546 548 564 597],[7.50000000e-02 6.94444444e-04 7.41406250e-01 1.00000000e+00],2
393,393,Qh2U0AMzDMo,SANDRA GAL,f,driver,face-on,1,[ 841  877  954  969 1023 1039 1053 1063 1120 1152],[7.57812500e-02 6.94444444e-04 7.17187500e-01 9.95138889e-01],2
394,394,v-vaBl6li0k,SEAN OHAIR,m,iron,down-the-line,0,[252 416 428 432 440 445 448 450 465 502],[2.07031250e-01 6.94444444e-04 4.07812500e-01 9.85416667e-01],1
395,395,v-vaBl6li0k,SEAN OHAIR,m,iron,down-the-line,1,[ 999 1048 1091 1107 1138 1158 1170 1177 1236 1283],[1.96093750e-01 6.94444444e-04 3.57031250e-01 9.79861111e-01],1
396,396,CUpd0izH2Qc,RICKIE FOWLER,m,driver,down-the-line,0,[ 45 250 260 265 272 275 278 280 299 360],[3.90625000e-04 6.94444444e-04 5.80078125e-01 9.86805556e-01],4
397,397,CUpd0izH2Qc,RICKIE FOWLER,m,driver,down-the-line,1,[ 691  752  796  817  844  853  866  874  947 1051],[3.90625000e-04 6.94444444e-04 5.80859375e-01 9.78472222e-01],4
398,398,wq-spn_xs_4,NATALIE GULBIS,f,driver,down-the-line,0,[ 53 260 284 287 298 304 307 310 331 392],[0.19140625 0.16527778 0.459375   0.81805556],1
399,399,wq-spn_xs_4,NATALIE GULBIS,f,driver,down-the-line,1,[521 622 708 722 768 793 804 814 883 915],[0.1859375  0.15972222 0.4796875  0.82083333],1
400,400,MhmyMr0nSuo,RETIEF GOOSEN,m,driver,other,0,[181 471 490 495 503 506 510 512 529 590],[4.37500000e-02 6.94444444e-04 8.16406250e-01 1.00000000e+00],3
401,401,MhmyMr0nSuo,RETIEF GOOSEN,m,driver,other,1,[ 695  771  838  862  892  906  920  928  995 1027],[6.64062500e-02 6.94444444e-04 7.97656250e-01 1.00000000e+00],3
402,402,f243G2yjCbM,BILLY ANDRADE,m,driver,down-the-line,0,[391 566 577 582 593 599 602 604 623 661],[1.20312500e-01 6.94444444e-04 5.21093750e-01 9.85416667e-01],3
403,403,f243G2yjCbM,BILLY ANDRADE,m,driver,down-the-line,1,[ 953  997 1041 1061 1103 1126 1139 1148 1211 1273],[1.35156250e-01 6.94444444e-04 5.27343750e-01 1.00000000e+00],3
404,404,PgGPF4QAye4,BRENDAN STEELE,m,driver,other,0,[196 423 436 441 451 454 457 459 475 537],[0.1859375  0.2625     0.3125     0.70138889],2
405,405,PgGPF4QAye4,BRENDAN STEELE,m,driver,other,1,[ 811  853  901  918  956  974  985  993 1046 1076],[0.1859375  0.26944444 0.30546875 0.66666667],2
406,406,__195BaMIGc,RICKIE FOWLER,m,iron,down-the-line,0,[271 638 646 651 657 660 663 666 687 717],[0.196875   0.04305556 0.3453125  0.83888889],4
407,407,__195BaMIGc,RICKIE FOWLER,m,iron,down-the-line,1,[ 807  832  864  881  906  919  931  946 1015 1075],[0.2265625  0.03611111 0.33203125 0.85694444],4
408,408,GVHFZw_NfB8,MICHELLE WIE,f,driver,face-on,0,[541 783 795 801 807 810 814 816 834 900],[1.32812500e-01 6.94444444e-04 6.67968750e-01 9.74305556e-01],1
409,409,GVHFZw_NfB8,MICHELLE WIE,f,driver,face-on,1,[1171 1217 1261 1284 1309 1322 1336 1344 1416 1478],[1.17968750e-01 6.94444444e-04 7.25781250e-01 9.92361111e-01],1
410,410,oQWoOOhxbyg,BROOKE HENDERSON,f,driver,down-the-line,0,[425 762 781 786 795 799 803 806 818 885],[8.59375000e-02 6.94444444e-04 5.10156250e-01 9.90972222e-01],2
411,411,oQWoOOhxbyg,BROOKE HENDERSON,f,driver,down-the-line,1,[1134 1211 1283 1301 1339 1356 1372 1380 1429 1461],[1.11718750e-01 6.94444444e-04 4.76562500e-01 9.92361111e-01],2
412,412,pq6P1kIYffU,BUD CAULEY,m,driver,down-the-line,0,[587 807 818 821 829 834 837 839 855 919],[0.1765625  0.2875     0.3078125  0.68055556],4
413,413,pq6P1kIYffU,BUD CAULEY,m,driver,down-the-line,1,[1086 1145 1184 1199 1230 1250 1260 1268 1319 1354],[0.1625     0.37916667 0.3484375  0.60416667],4
414,414,kjkYcewfta4,JUSTIN ROSE,m,driver,other,0,[151 323 344 350 358 362 365 367 386 448],[0.2421875  0.09444444 0.559375   0.89444444],1
415,415,kjkYcewfta4,JUSTIN ROSE,m,driver,other,1,[ 734  751  839  863  892  910  923  931 1004 1035],[0.275      0.17361111 0.52890625 0.81944444],1
416,416,F9hnIw0ZeDE,DANIELLE KANG,f,iron,face-on,0,[200 396 411 415 422 427 430 433 452 491],[0.21015625 0.00555556 0.63828125 0.95694444],2
417,417,F9hnIw0ZeDE,DANIELLE KANG,f,iron,face-on,1,[ 804  849  906  922  953  970  983  994 1069 1099],[0.2140625  0.03888889 0.64453125 0.92222222],2
418,418,SNAEPfUTGdQ,DARREN CLARKE,m,fairway,down-the-line,0,[258 384 393 398 404 408 411 413 430 496],[0.1171875  0.02916667 0.509375   0.96527778],1
419,419,SNAEPfUTGdQ,DARREN CLARKE,m,fairway,down-the-line,1,[693 751 785 801 828 844 855 864 928 989],[1.27343750e-01 6.94444444e-04 5.29687500e-01 9.99305556e-01],1
420,420,tK7IAn-3X9Y,SUN YOUNG YOO,f,driver,face-on,0,[240 371 393 398 408 413 416 419 441 510],[5.62500000e-02 6.94444444e-04 8.60937500e-01 1.00000000e+00],2
421,421,tK7IAn-3X9Y,SUN YOUNG YOO,f,driver,face-on,1,[ 750  807  890  910  947  967  982  991 1080 1141],[5.78125000e-02 6.94444444e-04 8.78125000e-01 1.00000000e+00],2
422,422,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,0,[331 658 669 672 679 682 685 687 701 741],[3.90625000e-04 6.94444444e-04 5.00390625e-01 9.95138889e-01],1
423,423,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,0,[561 657 669 672 678 682 685 687 699 742],[5.03125000e-01 6.94444444e-04 4.97265625e-01 9.99305556e-01],1
424,424,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,1,[1031 1101 1145 1158 1185 1197 1211 1219 1274 1338],[3.90625000e-04 6.94444444e-04 4.94921875e-01 9.90972222e-01],1
425,425,2C_7unRNoHo,TOM LEHMAN,m,driver,face-on,1,[1042 1104 1145 1159 1184 1197 1211 1219 1266 1297],[5.03125000e-01 6.94444444e-04 4.97265625e-01 1.00000000e+00],1
426,426,oczf2GA5lSM,BO VAN PELT,m,driver,down-the-line,0,[324 495 509 512 518 522 525 527 547 610],[1.53125000e-01 6.94444444e-04 5.32031250e-01 9.95138889e-01],3
427,427,oczf2GA5lSM,BO VAN PELT,m,driver,down-the-line,1,[ 997 1040 1090 1103 1127 1142 1153 1162 1215 1250],[9.60937500e-02 6.94444444e-04 6.14843750e-01 9.96527778e-01],3
428,428,Lqjwqeo2Qms,MARK MOULAND,m,driver,other,0,[ 52  90 105 109 117 121 125 127 144 208],[0.115625   0.10416667 0.428125   0.77916667],2
429,429,Lqjwqeo2Qms,MARK MOULAND,m,driver,other,1,[256 297 349 366 398 415 430 438 498 558],[0.0921875  0.02222222 0.50078125 0.8625    ],2
430,430,6Ezc-VDPVGk,INBEE PARK,f,driver,down-the-line,0,[ 62 171 194 203 216 220 224 226 250 313],[3.90625000e-04 6.94444444e-04 4.13671875e-01 9.21527778e-01],3
431,431,6Ezc-VDPVGk,AI MIYAZATO,f,driver,down-the-line,0,[ 80 151 180 188 212 220 224 226 260 329],[4.98437500e-01 6.94444444e-04 4.75781250e-01 9.36805556e-01],3
432,432,6Ezc-VDPVGk,AI MIYAZATO,f,driver,down-the-line,1,[419 449 563 585 688 721 733 744 868 898],[5.02343750e-01 6.94444444e-04 4.64062500e-01 9.34027778e-01],3
433,433,6Ezc-VDPVGk,INBEE PARK,f,driver,down-the-line,1,[456 523 615 651 702 720 735 743 832 892],[3.90625000e-04 6.94444444e-04 4.34765625e-01 8.86805556e-01],3
434,434,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,0,[271 404 421 426 436 440 443 445 468 528],[1.87500000e-01 6.94444444e-04 6.44531250e-01 9.50694444e-01],4
435,435,XIzyJGDBuqc,FRED COUPLES,m,fairway,face-on,0,[ 862 1041 1051 1055 1066 1070 1074 1075 1100 1190],[1.57031250e-01 6.94444444e-04 7.34375000e-01 1.00000000e+00],4
436,436,XIzyJGDBuqc,FRED COUPLES,m,iron,other,0,[1395 1544 1555 1560 1567 1572 1576 1578 1611 1671],[0.21953125 0.03333333 0.60234375 0.87916667],4
437,437,XIzyJGDBuqc,FRED COUPLES,m,driver,down-the-line,0,[2121 2327 2337 2341 2352 2356 2359 2361 2385 2445],[0.12578125 0.03333333 0.5265625  0.92222222],4
438,438,XIzyJGDBuqc,FRED COUPLES,m,iron,other,0,[2895 3069 3079 3084 3093 3098 3101 3103 3129 3189],[0.284375   0.15277778 0.46953125 0.81527778],4
439,439,XIzyJGDBuqc,FRED COUPLES,m,fairway,face-on,0,[3369 3426 3442 3446 3457 3462 3465 3467 3486 3554],[2.28125000e-01 6.94444444e-04 6.05468750e-01 9.34027778e-01],4
440,440,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,0,[4034 4279 4298 4302 4313 4317 4321 4323 4352 4386],[1.04687500e-01 6.94444444e-04 7.50781250e-01 9.77083333e-01],4
441,441,XIzyJGDBuqc,FRED COUPLES,m,iron,down-the-line,0,[5376 5776 5785 5789 5799 5804 5808 5810 5828 5853],[0.19765625 0.05277778 0.325      0.9125    ],4
442,442,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,0,[6460 6473 6491 6494 6505 6509 6513 6514 6535 6595],[1.64843750e-01 6.94444444e-04 6.92968750e-01 9.50694444e-01],4
443,443,XIzyJGDBuqc,FRED COUPLES,m,driver,down-the-line,1,[9035 9095 9131 9146 9191 9207 9219 9227 9301 9361],[0.15546875 0.01805556 0.446875   0.93611111],4
444,444,XIzyJGDBuqc,FRED COUPLES,m,fairway,face-on,1,[11311 11344 11409 11424 11467 11484 11497 11504 11580 11614],[1.44531250e-01 6.94444444e-04 7.14843750e-01 9.56250000e-01],4
445,445,XIzyJGDBuqc,FRED COUPLES,m,hybrid,face-on,1,[13732 13755 13798 13815 13859 13875 13888 13895 13970 14002],[2.28125000e-01 6.94444444e-04 6.00781250e-01 9.03472222e-01],4
446,446,XIzyJGDBuqc,FRED COUPLES,m,iron,down-the-line,1,[16042 16060 16095 16110 16151 16169 16182 16191 16279 16312],[0.21640625 0.06527778 0.2921875  0.89444444],4
447,447,XIzyJGDBuqc,FRED COUPLES,m,driver,face-on,1,[18382 18423 18465 18482 18525 18542 18555 18562 18650 18680],[1.10937500e-01 6.94444444e-04 7.54687500e-01 9.84027778e-01],4
448,448,UoOjJEcRRlU,J B HOLMES,m,fairway,down-the-line,0,[436 521 532 536 543 548 551 553 573 636],[9.29687500e-02 6.94444444e-04 5.22656250e-01 1.00000000e+00],2
449,449,UoOjJEcRRlU,J B HOLMES,m,fairway,down-the-line,1,[1037 1111 1150 1166 1200 1216 1226 1234 1312 1373],[1.08593750e-01 6.94444444e-04 4.91406250e-01 9.71527778e-01],2
450,450,WuSY5JFAZJ0,MIKE WEIR,m,driver,other,0,[340 709 719 724 731 735 738 740 760 822],[0.26953125 0.31666667 0.3046875  0.61527778],3
451,451,WuSY5JFAZJ0,MIKE WEIR,m,driver,other,1,[ 962 1002 1042 1064 1090 1107 1119 1129 1203 1293],[0.23359375 0.28194444 0.33984375 0.62777778],3
452,452,xMlz2gmivv8,LYDIA KO,f,driver,down-the-line,0,[ 94 201 219 226 237 242 245 248 274 334],[1.41406250e-01 6.94444444e-04 4.93750000e-01 9.90972222e-01],1
453,453,xMlz2gmivv8,LYDIA KO,f,driver,down-the-line,1,[544 634 668 681 703 714 721 725 757 817],[0.16328125 0.04027778 0.446875   0.9375    ],1
454,454,tGh7Mt0cPhU,GRAEME MCDOWELL,m,driver,other,0,[121 431 443 448 454 457 460 462 475 538],[1.57031250e-01 6.94444444e-04 6.34375000e-01 9.52083333e-01],4
455,455,tGh7Mt0cPhU,GRAEME MCDOWELL,m,driver,other,1,[718 750 790 813 835 846 860 866 910 951],[1.71093750e-01 6.94444444e-04 6.25000000e-01 9.81250000e-01],4
456,456,jbB8LaUIq1c,ADAM SCOTT,m,driver,face-on,0,[1414 1725 1736 1740 1748 1752 1755 1757 1776 1808],[7.18750000e-02 6.94444444e-04 8.04687500e-01 9.75694444e-01],4
457,457,jbB8LaUIq1c,ADAM SCOTT,m,driver,face-on,1,[2078 2109 2155 2171 2202 2220 2232 2239 2303 2335],[9.53125000e-02 6.94444444e-04 7.63281250e-01 9.90972222e-01],4
458,458,OxZMxqM-_O8,BILLY HURLEY III,m,driver,down-the-line,0,[391 559 569 574 582 585 588 590 610 673],[3.90625000e-04 6.94444444e-04 6.61328125e-01 9.96527778e-01],2
459,459,OxZMxqM-_O8,BILLY HURLEY III,m,driver,down-the-line,1,[ 881  943  981 1001 1032 1047 1058 1066 1136 1196],[3.90625000e-04 6.94444444e-04 6.47265625e-01 1.00000000e+00],2
460,460,k6z8d8aYCCI,RICKIE FOWLER,m,driver,other,0,[ 50 124 133 137 143 147 150 152 168 210],[0.23203125 0.1125     0.55859375 0.85277778],1
461,461,k6z8d8aYCCI,RICKIE FOWLER,m,driver,other,1,[330 391 425 441 467 479 490 498 558 620],[0.24140625 0.11805556 0.55234375 0.85      ],1
462,462,RYylCwgEBSM,AUSTIN ERNST,f,driver,face-on,0,[111 279 290 294 301 307 310 312 333 373],[3.90625000e-04 6.94444444e-04 8.34765625e-01 9.86805556e-01],3
463,463,RYylCwgEBSM,AUSTIN ERNST,f,driver,face-on,1,[553 598 638 651 684 705 718 727 798 858],[2.34375000e-03 6.94444444e-04 8.04687500e-01 9.95138889e-01],3
464,464,shPjhu1kxEE,BRAD FAXON,m,fairway,down-the-line,0,[185 415 431 435 443 448 451 453 471 507],[1.59375000e-01 6.94444444e-04 4.42187500e-01 9.77083333e-01],4
465,465,shPjhu1kxEE,BRAD FAXON,m,fairway,down-the-line,1,[ 856  885  932  948  982  999 1012 1020 1087 1117],[1.54687500e-01 6.94444444e-04 4.54687500e-01 9.75694444e-01],4
466,466,kWP9cqmiTys,MARC LEISHMAN,m,iron,other,0,[241 542 551 556 563 567 570 573 600 660],[2.25781250e-01 6.94444444e-04 3.36718750e-01 8.81250000e-01],4
467,467,kWP9cqmiTys,MARC LEISHMAN,m,iron,other,1,[ 798  838  873  892  919  936  949  958 1047 1077],[2.58593750e-01 6.94444444e-04 2.91406250e-01 8.84027778e-01],4
468,468,WoUmJvrnAnc,JOHN SENDEN,m,driver,down-the-line,0,[301 490 502 506 513 515 518 520 548 608],[1.45312500e-01 6.94444444e-04 4.82031250e-01 9.99305556e-01],4
469,469,WoUmJvrnAnc,JOHN SENDEN,m,driver,down-the-line,1,[ 709  759  801  818  843  853  865  875  970 1030],[1.45312500e-01 6.94444444e-04 4.83593750e-01 9.99305556e-01],4
470,470,a_vXMK97Jnc,DANIEL BERGER,m,driver,down-the-line,0,[301 590 603 608 616 623 625 627 643 703],[5.54687500e-02 6.94444444e-04 5.55468750e-01 1.00000000e+00],3
471,471,a_vXMK97Jnc,DANIEL BERGER,m,driver,down-the-line,1,[ 913  970 1016 1038 1068 1096 1107 1114 1172 1224],[8.35937500e-02 6.94444444e-04 5.58593750e-01 9.96527778e-01],3
472,472,ZivMJ6nSS-E,TONY FINAU,m,iron,down-the-line,0,[361 761 775 780 785 788 791 793 809 844],[2.72656250e-01 6.94444444e-04 3.47656250e-01 9.59027778e-01],1
473,473,ZivMJ6nSS-E,TONY FINAU,m,iron,down-the-line,1,[1294 1354 1415 1434 1455 1465 1478 1485 1554 1630],[2.56250000e-01 6.94444444e-04 3.60156250e-01 9.49305556e-01],1
474,474,vaoD7yodCF4,STACY LEWIS,f,driver,down-the-line,0,[331 472 488 492 501 506 509 511 531 594],[1.35156250e-01 6.94444444e-04 5.29687500e-01 9.46527778e-01],3
475,475,vaoD7yodCF4,STACY LEWIS,f,driver,down-the-line,1,[ 684  754  807  824  861  881  893  903  962 1024],[1.94531250e-01 6.94444444e-04 4.62500000e-01 9.43750000e-01],3
